"Name","URL","Description","Language","Updated","Stars","Issues"
"auth0/node-jsonwebtoken","https://github.com/auth0/node-jsonwebtoken","JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html","JavaScript","2018-07-16","8071","37"
"auth0/express-jwt","https://github.com/auth0/express-jwt","connect/express middleware that validates a JsonWebToken (JWT) and set the req.user with the attributes","JavaScript","2018-07-16","2678","41"
"auth0/java-jwt","https://github.com/auth0/java-jwt","Java implementation of JSON Web Token (JWT)","Java","2018-07-16","1942","27"
"auth0/angular2-jwt","https://github.com/auth0/angular2-jwt","Helper library for handling JWTs in Angular 2+ apps","TypeScript","2018-07-16","1838","114"
"auth0/angular-jwt","https://github.com/auth0/angular-jwt","Library to help you work with JWTs on AngularJS","JavaScript","2018-07-11","1220","40"
"auth0/jwt-decode","https://github.com/auth0/jwt-decode","Decode JWT tokens; useful for browser applications.","JavaScript","2018-07-16","936","21"
"auth0-community/socketio-jwt","https://github.com/auth0-community/socketio-jwt","Authenticate socket.io incoming connections with JWTs","JavaScript","2018-07-15","833","39"
"auth0/lock","https://github.com/auth0/lock","Auth0's signin solution","JavaScript","2018-07-12","770","29"
"auth0/angular-storage","https://github.com/auth0/angular-storage","A storage library for AngularJS done right","JavaScript","2018-07-04","661","21"
"auth0/sharelock","https://github.com/auth0/sharelock","Securely share data","HTML","2018-07-10","629","11"
"auth0/go-jwt-middleware","https://github.com/auth0/go-jwt-middleware","A Middleware for Go Programming Language to check for JWTs on HTTP requests","Go","2018-07-11","412","28"
"auth0/auth0.js","https://github.com/auth0/auth0.js","Auth0 headless browser sdk","JavaScript","2018-07-16","380","16"
"auth0/react-native-lock","https://github.com/auth0/react-native-lock","[DEPRECATED] A wrapper of Lock to use with React Native (iOS & Android)","Java","2018-05-12","291","44"
"auth0/SimpleKeychain","https://github.com/auth0/SimpleKeychain","A Keychain helper for iOS to make it very simple to store/obtain values from iOS Keychain","Objective-C","2018-07-11","285","2"
"auth0/wt-cli","https://github.com/auth0/wt-cli","Webtask CLI - all you need is code","JavaScript","2018-07-11","281","44"
"auth0/node-auth0","https://github.com/auth0/node-auth0","Node.js client library for the Auth0 platform.","JavaScript","2018-07-16","249","17"
"auth0-samples/auth0-react-samples","https://github.com/auth0-samples/auth0-react-samples","Auth0 Integration Samples for React Applications","JavaScript","2018-07-15","231","15"
"auth0/cosmos","https://github.com/auth0/cosmos","Auth0 Design System","JavaScript","2018-07-13","193","62"
"auth0/JWTDecode.swift","https://github.com/auth0/JWTDecode.swift","A library to help you decode JWTs in Swift","Swift","2018-07-03","190","5"
"auth0/Lock.swift","https://github.com/auth0/Lock.swift","A Swift & iOS framework to authenticate using Auth0 and with a Native Look & Feel","Swift","2018-06-28","172","3"
"auth0/react-native-auth0","https://github.com/auth0/react-native-auth0","React Native toolkit for Auth0 API","JavaScript","2018-07-16","167","10"
"auth0/rules","https://github.com/auth0/rules","Rules are code snippets written in JavaScript that are executed as part of the authentication pipeline in Auth0","JavaScript","2018-07-13","163","18"
"auth0/passport-auth0","https://github.com/auth0/passport-auth0","Auth0 authentication strategy for Passport.js","JavaScript","2018-07-16","161","32"
"auth0/repo-supervisor","https://github.com/auth0/repo-supervisor","Scan your code for security misconfiguration, search for passwords and secrets. :mag:","JavaScript","2018-07-13","147","6"
"auth0/passport-windowsauth","https://github.com/auth0/passport-windowsauth","Windows Authentication strategy for Passport.js","JavaScript","2018-07-03","146","26"
"auth0/cxn","https://github.com/auth0/cxn","cXn: extensible open-source CDN","Ruby","2018-02-20","141","4"
"auth0-samples/auth0-react-sample","https://github.com/auth0-samples/auth0-react-sample","[no description]","null","2018-07-11","138","1"
"auth0/auth0-PHP","https://github.com/auth0/auth0-PHP","Auth0-PHP SDK","PHP","2018-07-15","136","8"
"auth0/docs","https://github.com/auth0/docs","Auth0 documentation","HTML","2018-07-16","121","165"
"auth0/node-jwks-rsa","https://github.com/auth0/node-jwks-rsa","A library to retrieve RSA public keys from a JWKS (JSON Web Key Set) endpoint.","JavaScript","2018-07-12","119","25"
"auth0/styleguide","https://github.com/auth0/styleguide","ðŸ–Œ Conjunction of design patterns, components and resources used across our products.","CSS","2018-05-29","115","11"
"auth0/auth0-python","https://github.com/auth0/auth0-python","All information regarding using Auth0 with Python","Python","2018-07-15","111","16"
"auth0-samples/auth0-angular-samples","https://github.com/auth0-samples/auth0-angular-samples","Auth0 Integration Samples for Angular 2+ Applications","TypeScript","2018-07-14","111","8"
"auth0-samples/auth0-angularjs2-systemjs-sample","https://github.com/auth0-samples/auth0-angularjs2-systemjs-sample","[no description]","null","2018-05-15","105","1"
"auth0/Lock.Android","https://github.com/auth0/Lock.Android","Android Library to authenticate using Auth0 and with a Native Look & Feel","Java","2018-07-15","100","4"
"auth0/JWTDecode.Android","https://github.com/auth0/JWTDecode.Android","A library to help you decode JWTs for Android","Java","2018-07-09","97","7"
"auth0/blog","https://github.com/auth0/blog","auth0 blog","HTML","2018-07-16","96","34"
"auth0/auth0.net","https://github.com/auth0/auth0.net",".NET client for the Auth0 API","C#","2018-07-16","94","8"
"auth0/lock-passwordless","https://github.com/auth0/lock-passwordless","Auth0 Lock Passwordless [DEPRECATED]","JavaScript","2018-06-20","93","34"
"auth0-samples/auth0-roles-permissions-dashboard-sample","https://github.com/auth0-samples/auth0-roles-permissions-dashboard-sample","Dashboard that allows you to manage roles and permissions for your Auth0 users","null","2018-05-04","89","9"
"auth0-samples/auth0-vue-samples","https://github.com/auth0-samples/auth0-vue-samples","Auth0 Integration Samples for Vue.js Applications","JavaScript","2018-07-12","87","15"
"auth0/auth0-angular2","https://github.com/auth0/auth0-angular2","[no description]","null","2018-04-06","84","4"
"auth0/react-browserify-spa-seed","https://github.com/auth0/react-browserify-spa-seed","Seed / Boilerplate project to create your own SPA using React, Browserify and ReworkCSS","JavaScript","2017-12-26","83","6"
"auth0/node-odata-parser","https://github.com/auth0/node-odata-parser","OData query string parser for node.js.","JavaScript","2018-07-10","81","21"
"auth0/passport-linkedin-oauth2","https://github.com/auth0/passport-linkedin-oauth2","Passport strategy for LinkedIn Oauth2 ","JavaScript","2018-06-21","75","23"
"auth0/Auth0.swift","https://github.com/auth0/Auth0.swift","Swift toolkit for Auth0 API","Swift","2018-07-10","75","3"
"auth0/auth0-java","https://github.com/auth0/auth0-java","Java client library for the Auth0 platform","Java","2018-07-13","73","12"
"auth0/sharelock-android","https://github.com/auth0/sharelock-android","Sharelock Android app","Java","2018-05-01","71","0"
"auth0/wp-auth0","https://github.com/auth0/wp-auth0","Wordpress Plugin for Auth0","PHP","2018-07-11","70","19"
"auth0/ruby-auth0","https://github.com/auth0/ruby-auth0","Ruby toolkit for Auth0 API","Ruby","2018-07-10","68","9"
"auth0-samples/auth0-spring-security-api-sample","https://github.com/auth0-samples/auth0-spring-security-api-sample","Auth0 Integration Samples for Java Spring Boot and Spring Security REST API Services","Java","2018-07-13","67","6"
"auth0/laravel-auth0","https://github.com/auth0/laravel-auth0","Laravel plugin for Auth0","PHP","2018-07-11","64","10"
"auth0/jwt-auth-bundle","https://github.com/auth0/jwt-auth-bundle","JWT Authentication Bundle for Symfony REST APIs","PHP","2018-07-12","63","0"
"auth0-samples/auth0-javascript-samples","https://github.com/auth0-samples/auth0-javascript-samples","Auth0 Integration Samples for Vanilla JavaScript Applications","JavaScript","2018-07-11","60","11"
"auth0/node-samlp","https://github.com/auth0/node-samlp","SAML Protocol support for node (only IdP for now)","JavaScript","2018-07-16","57","20"
"auth0/node-baas","https://github.com/auth0/node-baas","Node.js implementation of Bcrypt as a micro service.","JavaScript","2018-06-27","56","5"
"auth0/TouchIDAuth","https://github.com/auth0/TouchIDAuth","A library for passwordless authentication using TouchID & JWT","Objective-C","2018-03-29","56","2"
"auth0-samples/auth0-nodejs-webapp-sample","https://github.com/auth0-samples/auth0-nodejs-webapp-sample","Auth0 Integration Samples for Node Web Applications","JavaScript","2018-07-10","55","5"
"auth0/webtask-scripts","https://github.com/auth0/webtask-scripts","[no description]","JavaScript","2018-07-06","55","1"
"auth0-community/go-auth0","https://github.com/auth0-community/go-auth0",":closed_lock_with_key: Go package helping to deal with Auth0","Go","2018-06-28","54","8"
"auth0/coreos-mongodb","https://github.com/auth0/coreos-mongodb","CoreOS MongoDB units ","null","2018-06-20","53","5"
"auth0/discourse-plugin","https://github.com/auth0/discourse-plugin","Discourse plugin to authenticate with auth0.","Ruby","2018-06-11","52","16"
"auth0-community/ember-simple-auth-auth0","https://github.com/auth0-community/ember-simple-auth-auth0","Auth0 + lock.js, built on ember-simple-auth","JavaScript","2018-07-03","44","15"
"auth0/auth0-aspnet-owin","https://github.com/auth0/auth0-aspnet-owin","Auth0 ASP.NET 4.5 Owin/Katana Authentication Handler","JavaScript","2018-07-05","44","0"
"auth0/passport-azure-ad-oauth2","https://github.com/auth0/passport-azure-ad-oauth2","OAuth 2.0 authentication Passport strategies for Windows Azure Active Directory","JavaScript","2018-06-20","43","4"
"auth0/jwt-handbook-samples","https://github.com/auth0/jwt-handbook-samples","JWT Handbook code samples","JavaScript","2018-07-15","43","0"
"auth0/single-page-app-seed","https://github.com/auth0/single-page-app-seed","A very opinionated seed for creating Single Page Apps that uses NO framework at all. Just a bunch of component libs","JavaScript","2018-02-27","42","0"
"auth0/nodejs-msi","https://github.com/auth0/nodejs-msi","Build an MSI Windows Installer for a node.js application using WIX Toolset. ","PowerShell","2018-06-28","42","1"
"auth0/sharelock-osx","https://github.com/auth0/sharelock-osx","[no description]","Swift","2018-04-02","42","1"
"auth0-samples/auth0-sso-sample","https://github.com/auth0-samples/auth0-sso-sample","Doing Single Sign On between SPAs and Regular Web Apps","JavaScript","2018-07-05","41","2"
"auth0-samples/auth0-aspnetcore-webapi-samples","https://github.com/auth0-samples/auth0-aspnetcore-webapi-samples","Auth0 Integration Samples for ASP.NET Core WebAPI Services","C#","2018-07-07","41","0"
"auth0/omniauth-auth0","https://github.com/auth0/omniauth-auth0","Omniauth strategy for the Auth0 platform.","Ruby","2018-07-16","40","11"
"auth0/multitenant-jwt-auth","https://github.com/auth0/multitenant-jwt-auth","This sample shows how to implement an API that authenticates using JWTs. It supports mutiple tenants and JWT blacklisting.","JavaScript","2018-07-09","38","0"
"auth0/password-sheriff","https://github.com/auth0/password-sheriff","Password policies made easy.","JavaScript","2018-06-11","37","6"
"auth0/sandboxjs","https://github.com/auth0/sandboxjs","Sandbox node.js code like a boss","JavaScript","2018-06-21","37","7"
"auth0/auth0-multitenant-spa-api-sample","https://github.com/auth0/auth0-multitenant-spa-api-sample","JQuery SPA + Node.js API with multi-tenant support","JavaScript","2018-07-15","37","1"
"auth0-samples/auth0-python-web-app","https://github.com/auth0-samples/auth0-python-web-app","Auth0 Integration Samples for Python and Flask Web Applications","Python","2018-07-12","35","3"
"auth0/Auth0.Android","https://github.com/auth0/Auth0.Android","Android toolkit for Auth0 API","Java","2018-07-16","35","8"
"auth0/auth0-authorization-extension","https://github.com/auth0/auth0-authorization-extension","Auth0 Extension that adds authorization features to your account","JavaScript","2018-07-16","35","63"
"auth0-samples/auth0-aspnetcore-mvc-samples","https://github.com/auth0-samples/auth0-aspnetcore-mvc-samples","Auth0 Integration Samples for ASP.NET Core MVC Web Applications","C#","2018-07-08","34","0"
"auth0/node-saml","https://github.com/auth0/node-saml","SAML assertion creation for node","JavaScript","2018-07-10","32","21"
"auth0/auth0-drupal","https://github.com/auth0/auth0-drupal","Auth0 Drupal Plugin - Single Sign On, Social Login, SAML and AD/LDAP Integration, User Management","PHP","2018-07-13","32","14"
"auth0/ad-ldap-connector","https://github.com/auth0/ad-ldap-connector","Auth0 AD and LDAP connector","JavaScript","2018-07-06","31","49"
"auth0-samples/auth0-ionic2-samples","https://github.com/auth0-samples/auth0-ionic2-samples","[no description]","TypeScript","2018-05-14","30","28"
"auth0/webtask-workshop","https://github.com/auth0/webtask-workshop","[no description]","null","2018-07-12","29","17"
"auth0/auth0-servlet","https://github.com/auth0/auth0-servlet","Use Auth0 with Java Servlets","null","2017-11-22","29","0"
"auth0/jwks-rsa-java","https://github.com/auth0/jwks-rsa-java","[no description]","Java","2018-07-10","28","4"
"auth0/webtask-bundle","https://github.com/auth0/webtask-bundle","Module and CLI to bundle your code for use on https://webtask.io","JavaScript","2018-06-21","28","6"
"auth0-samples/auth0-angularjs-sample","https://github.com/auth0-samples/auth0-angularjs-sample","These samples are made up of steps to add Auth0 to an Angular JS app","null","2018-03-28","28","10"
"auth0-samples/auth0-golang-web-app","https://github.com/auth0-samples/auth0-golang-web-app","Auth0 Integration Samples for Go Web Applications","Go","2018-07-13","27","6"
"auth0-samples/auth0-express-api-samples","https://github.com/auth0-samples/auth0-express-api-samples","Auth0 Integration Samples for Node Express REST API Services","JavaScript","2018-07-16","27","4"
"auth0-samples/auth0-python-api-samples","https://github.com/auth0-samples/auth0-python-api-samples","Auth0 Integration Samples for Python REST API Services using Flask","Python","2018-07-04","27","3"
"auth0/auth0-cordova","https://github.com/auth0/auth0-cordova","Auth0 integration for Cordova apps","JavaScript","2018-06-21","27","21"
"auth0/serverless-webtasks","https://github.com/auth0/serverless-webtasks","The Auth0 Webtasks provider implementation for the Serverless Framework","JavaScript","2018-07-02","26","1"
"auth0/shiny-auth0","https://github.com/auth0/shiny-auth0","Auth0 shiny proxy","JavaScript","2018-07-10","26","5"
"auth0/wp-jwt-auth","https://github.com/auth0/wp-jwt-auth","[DEPRECATED] This plugin targets to add JWT authentication to Wordpress API's provided by plugins.","PHP","2018-06-18","25","4"
"auth0/webtask-tools","https://github.com/auth0/webtask-tools","Tools to facilitate working in a webtask context.","JavaScript","2018-07-06","25","6"
"auth0-samples/auth0-react-native-sample","https://github.com/auth0-samples/auth0-react-native-sample","Auth0 Integration Samples for React Native","Objective-C","2018-06-08","24","2"
"auth0/idtoken-verifier","https://github.com/auth0/idtoken-verifier","Lightweight RSA JWT verification","JavaScript","2018-07-06","23","2"
"auth0/id-generator","https://github.com/auth0/id-generator","Generates random ids with a prefix (a la Stripe)","JavaScript","2018-02-18","23","2"
"auth0/Xamarin.Auth0Client","https://github.com/auth0/Xamarin.Auth0Client","This library has been deprecated. See README for more info","C#","2017-09-12","22","0"
"auth0/node-xml-encryption","https://github.com/auth0/node-xml-encryption","W3C XML Encryption implementation for node.js (http://www.w3.org/TR/xmlenc-core/)","JavaScript","2018-07-09","22","23"
"auth0-samples/auth0-ios-swift-sample","https://github.com/auth0-samples/auth0-ios-swift-sample","[no description]","Swift","2018-07-11","22","2"
"auth0/disyuntor","https://github.com/auth0/disyuntor","[no description]","JavaScript","2018-04-02","22","1"
"auth0-samples/auth0-android-sample","https://github.com/auth0-samples/auth0-android-sample","Auth0 Integration Samples for Android Applications","Java","2018-06-15","21","6"
"auth0-community/auth0-react-scripts","https://github.com/auth0-community/auth0-react-scripts","Bootstrap React projects with authentication","JavaScript","2018-01-23","20","9"
"auth0/php-jwt-example","https://github.com/auth0/php-jwt-example","Php JWT example.","PHP","2018-07-11","19","1"
"auth0-samples/auth0-php-web-app","https://github.com/auth0-samples/auth0-php-web-app","Auth0 Integration Samples for PHP Web Applications","PHP","2018-07-11","19","0"
"auth0/webtask-runtime","https://github.com/auth0/webtask-runtime","Runtime components of the webtask.io sandbox","JavaScript","2018-07-12","19","3"
"auth0-samples/auth0-golang-api-samples","https://github.com/auth0-samples/auth0-golang-api-samples","Auth0 Integration Samples for Go REST API Services","Go","2018-07-10","19","0"
"auth0/auth0-deploy-cli","https://github.com/auth0/auth0-deploy-cli","A node CLI that can be used to easily integrate configuration deploy with your build scripts.","JavaScript","2018-07-11","18","16"
"auth0-samples/auth0-electron-samples","https://github.com/auth0-samples/auth0-electron-samples","[no description]","HTML","2018-06-19","18","13"
"auth0/gynoid","https://github.com/auth0/gynoid","Auth0 NodeJs ChatOps Service","JavaScript","2018-06-30","17","5"
"auth0/charata","https://github.com/auth0/charata","[no description]","JavaScript","2017-11-22","17","2"
"auth0-samples/auth0-spring-security-api-resource-server-sample","https://github.com/auth0-samples/auth0-spring-security-api-resource-server-sample","Demonstrates using Auth0 with Spring Boot and Spring Security to create an Auth0 configured Resource Server.","Java","2018-04-25","17","1"
"auth0/angular-lock","https://github.com/auth0/angular-lock","[no description]","JavaScript","2018-07-04","16","12"
"auth0/webtask-slack-signup","https://github.com/auth0/webtask-slack-signup","Create Slack signup page using Auth0 webtasks","JavaScript","2018-06-30","16","0"
"auth0-samples/auth0-multitenant-website","https://github.com/auth0-samples/auth0-multitenant-website","Sample that demonstrates a simple multi-tenant web application that uses the Authorization extension to manage tenants with groups","JavaScript","2018-07-04","16","1"
"auth0/Mobile-Samples.React","https://github.com/auth0/Mobile-Samples.React","Sample Applications for React Native","null","2017-07-20","16","8"
"auth0/angular-auth0","https://github.com/auth0/angular-auth0","Angular 1.x Wrapper for Auth0.js v9 and higher","JavaScript","2018-05-17","16","11"
"auth0/kinesis-writable","https://github.com/auth0/kinesis-writable","Node.js writable stream for AWS Kinesis. ","JavaScript","2018-05-01","15","2"
"auth0-samples/auth0-spring-security-mvc-sample","https://github.com/auth0-samples/auth0-spring-security-mvc-sample","Auth0 Integration Samples for Java Spring Security MVC","Java","2018-06-28","15","7"
"auth0/oauth2-recipes","https://github.com/auth0/oauth2-recipes","[no description]","JavaScript","2018-06-04","14","77"
"auth0/express-jwt-authz","https://github.com/auth0/express-jwt-authz","Validate the JWT scope to authorize access to an endpoint","JavaScript","2018-05-06","14","8"
"auth0-samples/auth0-jquery-samples","https://github.com/auth0-samples/auth0-jquery-samples","Auth0 Integration Samples for jQuery ","JavaScript","2018-07-08","14","0"
"auth0/auth0-scala","https://github.com/auth0/auth0-scala","All information regarding using Auth0 with Scala","null","2018-07-10","13","4"
"auth0/ethereum-authentication-server","https://github.com/auth0/ethereum-authentication-server","A simple server that will perform authentication backed by the Ethereum network.","JavaScript","2018-06-23","13","1"
"auth0-samples/auth0-aspnet-owin-webapi-samples","https://github.com/auth0-samples/auth0-aspnet-owin-webapi-samples","Auth0 Integration Samples for ASP.NET OWIN Web API Services","C#","2018-07-05","12","0"
"auth0-samples/oidc-sso-sample","https://github.com/auth0-samples/oidc-sso-sample","Single Sign On Example for Single Page Applications","JavaScript","2018-07-12","12","1"
"auth0-samples/auth0-ionic-samples","https://github.com/auth0-samples/auth0-ionic-samples","[no description]","JavaScript","2018-03-23","12","8"
"auth0/auth0-ldap-endpoint","https://github.com/auth0/auth0-ldap-endpoint","An LDAP server that allows you to connect your legacy applications with Auth0 using the LDAP protocol.","JavaScript","2018-07-06","12","5"
"auth0-samples/auth0-servlet-sample","https://github.com/auth0-samples/auth0-servlet-sample","Auth0 Integration Samples for Java Servlets and JSP ","Java","2018-07-05","11","8"
"auth0-samples/auth0-spring-mvc-sample","https://github.com/auth0-samples/auth0-spring-mvc-sample","Auth0 Integration Samples for Java Spring MVC Web Applications","Java","2018-07-05","11","7"
"auth0-samples/github-source-control-integration","https://github.com/auth0-samples/github-source-control-integration","Repository showing how you can configure Source Control integration with GitHub","HTML","2018-04-08","11","4"
"auth0-samples/auth0-pnp-exampleco-timesheets","https://github.com/auth0-samples/auth0-pnp-exampleco-timesheets","End to end sample for the Server + API Patterns & Practices document","Java","2018-06-11","11","0"
"auth0/webtask-editor-templates","https://github.com/auth0/webtask-editor-templates","[no description]","JavaScript","2018-06-18","11","4"
"auth0-samples/auth0-laravel-php-web-app","https://github.com/auth0-samples/auth0-laravel-php-web-app"," Auth0 Integration Samples for Laravel Web Applications","PHP","2018-07-10","11","1"
"auth0/auth0-management-api-webhooks","https://github.com/auth0/auth0-management-api-webhooks","An Auth0 extension that provides a webhook functionality to Auth0's Management API","JavaScript","2018-06-17","11","5"
"auth0/slash","https://github.com/auth0/slash","Slash Webtasks: Extend Slack with Node.js","null","2018-06-16","11","1"
"auth0-samples/auth0-laravel-api-samples","https://github.com/auth0-samples/auth0-laravel-api-samples","Auth0 Integration Samples for Laravel REST API Services","PHP","2018-07-09","10","1"
"auth0/kbd","https://github.com/auth0/kbd","Styles for <kbd> tags.","HTML","2018-06-07","10","0"
"auth0-samples/auth0-dotnet-validate-jwt","https://github.com/auth0-samples/auth0-dotnet-validate-jwt","Samples which demonstrate how to validate a JWT manually","C#","2018-07-11","10","0"
"auth0-samples/react-native-embedded-login","https://github.com/auth0-samples/react-native-embedded-login","Comprehensive sample illustrating how to do custom ui embedded login using modern React Native libraries","JavaScript","2018-05-27","10","0"
"auth0-samples/auth0-angularjs-samples","https://github.com/auth0-samples/auth0-angularjs-samples","Auth0 Integration Samples for Angular 1.x Applications","JavaScript","2018-07-16","10","4"
"auth0/auth0-aspnet","https://github.com/auth0/auth0-aspnet","Configure Auth0 with ASP.NET","C#","2018-07-16","10","1"
"auth0-samples/auth0-jquery-passwordless-sample","https://github.com/auth0-samples/auth0-jquery-passwordless-sample","JQuery SPA samples for passwordless authentication","HTML","2018-03-30","10","1"
"auth0-samples/react-redux-embedded-login","https://github.com/auth0-samples/react-redux-embedded-login","Offers a comprehensive sample using modern react & redux libraries on how to achieve a custom UI embedded login","JavaScript","2018-04-23","10","2"
"auth0-samples/auth0-spring-security-mvc-sso-sample","https://github.com/auth0-samples/auth0-spring-security-mvc-sso-sample","Demonstrates using Auth0 with Spring Boot, Spring Security, and optionally AngularJS to do Single Sign On (SSO) between three websites.","Java","2018-07-13","10","1"
"auth0/passport-wsfed-saml2","https://github.com/auth0/passport-wsfed-saml2","passport strategy for both WS-fed and SAML2 protocol","JavaScript","2018-06-20","10","31"
"auth0/cloudtrail-slack","https://github.com/auth0/cloudtrail-slack","Watch CloudTrail and send notifications of every action to an slack channel.","JavaScript","2018-04-22","9","3"
"auth0/custom-social-connections","https://github.com/auth0/custom-social-connections","[no description]","JavaScript","2018-07-10","9","14"
"auth0/rel-to-abs","https://github.com/auth0/rel-to-abs","Convert relative URLs to absolute URLs given an HTML source","JavaScript","2018-04-13","9","2"
"auth0/Lock-SmartLock","https://github.com/auth0/Lock-SmartLock","Google Smart Lock support for Auth0 Lock","Java","2018-02-04","9","1"
"auth0/Auth0.WindowsPhone","https://github.com/auth0/Auth0.WindowsPhone","[no description]","C#","2016-11-04","9","0"
"auth0/code-conventions","https://github.com/auth0/code-conventions","[no description]","null","2018-03-05","9","5"
"auth0/polymer-workshop","https://github.com/auth0/polymer-workshop","The polymer workshop sample","JavaScript","2017-01-01","9","0"
"auth0-samples/auth0-aspnet-owin-mvc-samples","https://github.com/auth0-samples/auth0-aspnet-owin-mvc-samples","Quickstart and samples for ASP.NET (OWIN) MVC","JavaScript","2018-07-05","8","0"
"auth0/auth0-instrumentation","https://github.com/auth0/auth0-instrumentation","The goal of this package is to make it easier to collect information about our services through logs, metrics and error catching.","JavaScript","2018-07-06","8","12"
"auth0/node-wsfed","https://github.com/auth0/node-wsfed","WS-Federation middleware for node.js and express","JavaScript","2018-02-27","8","3"
"auth0/auth0-mailchimp-export","https://github.com/auth0/auth0-mailchimp-export","Allows Auth0 Customers to synchronize their Auth0 User base (those that have an email) with a MailChimp List","JavaScript","2017-11-15","8","10"
"auth0/auth0-java-mvc-common","https://github.com/auth0/auth0-java-mvc-common","Contains common helper classes and api client logic that are used across our Java MVC libraries","Java","2018-06-13","8","3"
"auth0-samples/auth0-rubyonrails-sample","https://github.com/auth0-samples/auth0-rubyonrails-sample","Auth0 Integration Samples for Ruby on Rails Web Applications","Ruby","2018-05-01","8","5"
"auth0/Lock-Facebook.iOS","https://github.com/auth0/Lock-Facebook.iOS","Lock for iOS add-on to use Facebook iOS SDK","Objective-C","2017-12-10","8","7"
"auth0-samples/auth0-link-accounts-sample","https://github.com/auth0-samples/auth0-link-accounts-sample","Examples of how to implement account linking","JavaScript","2018-05-14","8","0"
"auth0/express-passport-logout","https://github.com/auth0/express-passport-logout","express middleware to logout from passport","JavaScript","2018-03-09","8","3"
"auth0-samples/react-redux-universal-login","https://github.com/auth0-samples/react-redux-universal-login","Offers a comprehensive sample using modern react & redux libraries integrated with Auth0 Hosted Login Page","JavaScript","2018-07-08","7","4"
"auth0/react-native-lock-android","https://github.com/auth0/react-native-lock-android","[DEPRECATED] Use react-native-lock","null","2016-04-05","7","6"
"auth0-samples/auth0-php-api-samples","https://github.com/auth0-samples/auth0-php-api-samples","Auth0 Integration Samples for PHP REST API Services","PHP","2018-07-16","7","0"
"auth0/auth0-pusher","https://github.com/auth0/auth0-pusher","A simple demo of Single Page Application with Auth0 & Pusher","JavaScript","2017-11-07","7","0"
"auth0/auth0-aws","https://github.com/auth0/auth0-aws","[no description]","null","2018-04-30","7","2"
"auth0/auth0-oidc-client-net","https://github.com/auth0/auth0-oidc-client-net","OIDC Client for .NET Desktop and Mobile applications","C#","2018-06-28","7","1"
"auth0/Lock-Google.Android","https://github.com/auth0/Lock-Google.Android","Native Login with Google and Lock for Android","Java","2017-09-02","7","1"
"auth0/node-waad","https://github.com/auth0/node-waad","Query Windows Azure Active Directory graph from node.js","JavaScript","2018-06-28","6","4"
"auth0/ad-federation-server","https://github.com/auth0/ad-federation-server","Active Directory WS-Federation Server example in node.js","CSS","2017-09-06","6","0"
"auth0/mongo-heartbeat","https://github.com/auth0/mongo-heartbeat","Ping mongodb every x seconds to prevent disconnections","JavaScript","2018-02-02","6","1"
"auth0-samples/auth0-spring-mvc-passwordless-mfa-sample","https://github.com/auth0-samples/auth0-spring-mvc-passwordless-mfa-sample","Application demonstrating Passwordless authentication and subsequent MFA opt-in & Social Connection account linking - using Lock, auth0.js and Java Spring Boot","Java","2018-04-09","6","0"
"auth0/auth0-electron","https://github.com/auth0/auth0-electron","[no description]","null","2017-01-21","6","0"
