"Name","URL","Description","Language","Updated","Stars","Issues"
"auth0-samples/auth0-node-passwordless-sample","https://github.com/auth0-samples/auth0-node-passwordless-sample","Node.js regular web app sample using passwordless authentication","HTML","2018-04-13","6","4"
"auth0/concierge-droid","https://github.com/auth0/concierge-droid","Concierge droid that sends direct messages to assigned persons when mentioned to avoid unnecessary noise in Slack. Useful when you have an "on-call" rotation in your team/channel","JavaScript","2017-02-24","6","3"
"auth0/auth0-sharepoint","https://github.com/auth0/auth0-sharepoint","Auth0 SharePoint support","C#","2018-03-16","6","3"
"auth0/auth0-spring-security-mvc","https://github.com/auth0/auth0-spring-security-mvc","Integrates Auth0 with Spring Boot and Spring Security for java spring server-side MVC web apps","null","2017-09-29","6","0"
"auth0/ethereum-authenticator-app-public","https://github.com/auth0/ethereum-authenticator-app-public","Ethereum mobile authenticator app PoC","CSS","2018-05-17","6","0"
"auth0-community/auth0-aurelia-samples","https://github.com/auth0-community/auth0-aurelia-samples","Integrate Auth0 in Aurelia apps","JavaScript","2018-05-18","6","10"
"auth0/lock-theme-gradient","https://github.com/auth0/lock-theme-gradient","[DEPRECATED] Gradient Theme for Lock v9","CSS","2018-06-14","6","1"
"auth0/lock-theme-reflex","https://github.com/auth0/lock-theme-reflex","[DEPRECATED] Theme Reflex for Lock v9","CSS","2018-06-14","6","4"
"auth0/nested-yargs","https://github.com/auth0/nested-yargs","An opinionated wrapper around yargs to make building nested command-line interfaces a breeze.","JavaScript","2017-06-27","6","2"
"auth0/aurelia-quote-app","https://github.com/auth0/aurelia-quote-app","[no description]","JavaScript","2017-03-03","6","2"
"auth0/webtask-require","https://github.com/auth0/webtask-require","require('webtask-require')('hello')","JavaScript","2018-05-25","6","2"
"auth0/auth0-headless-kerberos-sample","https://github.com/auth0/auth0-headless-kerberos-sample","Sample project showing how to do headless Kerberos authentication with Auth0 (for Console Applications, Windows Services, ...)","C#","2017-10-11","5","0"
"auth0-community/auth0-cordova-samples","https://github.com/auth0-community/auth0-cordova-samples","Integrate Auth0 in Cordova apps","HTML","2018-04-05","5","6"
"auth0-community/auth0-symfony-php-web-app","https://github.com/auth0-community/auth0-symfony-php-web-app","Integrate Auth0 in Symfony webapps","PHP","2018-07-11","5","5"
"auth0/packageify","https://github.com/auth0/packageify","Inline things from your package.json without including all the package.json in the bundle.","JavaScript","2016-07-29","5","0"
"auth0/auth0-vue","https://github.com/auth0/auth0-vue","[no description]","null","2018-07-05","5","0"
"auth0-samples/auth0-spring-security-api-client-samples","https://github.com/auth0-samples/auth0-spring-security-api-client-samples","The samples contained here are companion client (SPA) samples for the Auth0 Spring Security API Sample","HTML","2018-04-27","5","1"
"auth0/webtasks","https://github.com/auth0/webtasks","Issue tracking for Auth0 Webtask technology","null","2018-01-25","5","3"
"auth0/connect-google-jwt","https://github.com/auth0/connect-google-jwt","Vaidate google's JWTs middleware in connect applications.","JavaScript","2017-06-20","5","1"
"auth0-samples/auth0-django-web-app","https://github.com/auth0-samples/auth0-django-web-app","Auth0 Integration Samples for Django Web Applications","Python","2018-07-10","5","7"
"auth0/webtask-twitter","https://github.com/auth0/webtask-twitter","[no description]","JavaScript","2018-01-29","5","0"
"auth0-samples/auth0-regular-webapp-login-with-sso-and-api","https://github.com/auth0-samples/auth0-regular-webapp-login-with-sso-and-api","OIDC Oauth2 demonstration starter app for Regular Web App integration with Auth0","JavaScript","2018-04-18","5","0"
"auth0/scim","https://github.com/auth0/scim","SCIM v1.0 API server","JavaScript","2017-03-23","5","0"
"auth0/adonisjs-got","https://github.com/auth0/adonisjs-got","A simple GOT application with AdonisJS","JavaScript","2017-07-21","5","0"
"auth0/symfony-got","https://github.com/auth0/symfony-got","Create your first Symfony app and add authentication to it","PHP","2017-08-02","5","1"
"auth0-samples/auth0-custom-signup-apiv2-sample","https://github.com/auth0-samples/auth0-custom-signup-apiv2-sample","[no description]","JavaScript","2017-07-12","5","4"
"auth0-community/auth0-xamarin-oidc-samples","https://github.com/auth0-community/auth0-xamarin-oidc-samples","Samples for using the Auth0 OidcClient with Xamarin applications","C#","2018-05-31","5","0"
"auth0-community/auth0-chrome","https://github.com/auth0-community/auth0-chrome","Use Auth0 in Chrome Extensions","JavaScript","2018-06-20","5","7"
"auth0/shiny-auth0-plus","https://github.com/auth0/shiny-auth0-plus","Auth0 Shiny proxy with user authentication and authorization","JavaScript","2018-05-30","4","0"
"auth0-samples/auth0-single-sign-out-sample","https://github.com/auth0-samples/auth0-single-sign-out-sample","Sign out from all of your enterprise applications","JavaScript","2017-10-31","4","2"
"auth0/ClaimsCookie","https://github.com/auth0/ClaimsCookie","An HttpModule that will serialize user information to a chunked protected cookie (with MachineKey) and deserialize on every request to a ClaimsPrincipal","C#","2017-10-19","4","0"
"auth0/Lock-Facebook.Android","https://github.com/auth0/Lock-Facebook.Android","Lock for Android add-on to use Facebook Android SDK ","Java","2018-02-08","4","1"
"auth0/adfs-auth0","https://github.com/auth0/adfs-auth0","ADFS Auth0 script","PowerShell","2017-12-13","4","0"
"auth0/node-mongodb-watcher","https://github.com/auth0/node-mongodb-watcher","Monitor your mongodb connection for bad queries.","JavaScript","2017-09-21","4","0"
"auth0/unreleased","https://github.com/auth0/unreleased","Retrieve changes (formatted as changelog) since the last tagged version.","JavaScript","2016-04-21","4","0"
"auth0/ethereum-sample-web","https://github.com/auth0/ethereum-sample-web","standalone sample web application that shows the usage of Ethereum-backed authentication","CSS","2018-05-17","4","0"
"auth0/auth0-cordova-oidc-sample","https://github.com/auth0/auth0-cordova-oidc-sample","Work in Progress Cordova app sample with OIDC + PKCE flow","JavaScript","2017-06-20","4","0"
"auth0/gapps-directory","https://github.com/auth0/gapps-directory","(Unofficial) Google Apps Directory Api client library.","JavaScript","2017-04-02","4","0"
"auth0-samples/auth0-grails3-spring-security-mvc-sample","https://github.com/auth0-samples/auth0-grails3-spring-security-mvc-sample","Sample application demonstrating Auth0, Grails 3, and Spring Security integration for a Grails 3 MVC application","CSS","2018-02-07","4","3"
"auth0/auth0-guardian.js","https://github.com/auth0/auth0-guardian.js","Client library for Auth0 Guardian","JavaScript","2018-06-14","4","12"
"auth0/auth0-user-import-export-extension","https://github.com/auth0/auth0-user-import-export-extension","Extension that allows you to import/export users from your Auth0 account","JavaScript","2018-06-22","4","16"
"auth0/fix-office-link","https://github.com/auth0/fix-office-link","Express.js middleware to fix office redirect/links.","JavaScript","2018-05-16","4","1"
"auth0/auth0-spring-mvc","https://github.com/auth0/auth0-spring-mvc","Permits easy integration between Auth0 and a Java Spring application","null","2017-09-29","4","0"
"auth0/Mobile-Samples.iOS","https://github.com/auth0/Mobile-Samples.iOS","Sample Applications for iOS","null","2017-05-23","4","0"
"auth0-community/auth0-scala-samples","https://github.com/auth0-community/auth0-scala-samples","Integrating Auth with Scala Play2 web apps","Scala","2018-04-03","4","3"
"auth0/native-mobile-samples","https://github.com/auth0/native-mobile-samples","[no description]","Swift","2017-05-16","4","4"
"auth0-samples/auth0-api-auth-samples","https://github.com/auth0-samples/auth0-api-auth-samples","Seed projects for API Authentication and Authorization","JavaScript","2018-05-23","4","0"
"auth0/auth0-coreos-tools","https://github.com/auth0/auth0-coreos-tools","Utilities for running Node.js apps in CoreOS","JavaScript","2016-08-12","4","1"
"auth0/auth0-dashboard-widget","https://github.com/auth0/auth0-dashboard-widget","A users dashboard for Auth0 accounts","JavaScript","2017-07-26","4","0"
"auth0-community/auth0-dotnet-templates","https://github.com/auth0-community/auth0-dotnet-templates","Auth0 Templates for .NET Core","C#","2018-03-16","4","0"
"auth0/auth0-metrics","https://github.com/auth0/auth0-metrics","Frontend tracking with Segment and custom server","JavaScript","2017-04-05","4","5"
"auth0-samples/auth0-ionic3-samples","https://github.com/auth0-samples/auth0-ionic3-samples","Auth0 Integration Samples for Ionic 3","TypeScript","2018-07-16","3","3"
"auth0/passport-auth0-openidconnect","https://github.com/auth0/passport-auth0-openidconnect","Passport strategy for authenticating with Auth0 using OpenID Connect.","JavaScript","2018-06-04","3","3"
"auth0/styleguide2","https://github.com/auth0/styleguide2","A professional frontend styleguide made in ReactJS to improve the development of web applications.","JavaScript","2017-07-07","3","0"
"auth0-samples/auth0-rubyonrails-api-samples","https://github.com/auth0-samples/auth0-rubyonrails-api-samples","Auth0 Integration Samples for Ruby on Rails REST API Services","Ruby","2018-06-20","3","5"
"auth0/auth0-authentication-api-webhooks","https://github.com/auth0/auth0-authentication-api-webhooks","This webtask allows you to define webhooks for Auth0's Authentication API. It will go through the audit logs and call a webhook for specific events.","JavaScript","2018-06-19","3","2"
"auth0/ethereum-auth-client","https://github.com/auth0/ethereum-auth-client","npm module that abstracts the interactions with the Ethereum client with the registraion/lookup Smart Contract","JavaScript","2018-06-06","3","0"
"auth0-samples/auth0-anonymous-tracker","https://github.com/auth0-samples/auth0-anonymous-tracker","A cross-site anonymous user tracker.","HTML","2018-02-10","3","0"
"auth0-samples/auth0-javascript-spa","https://github.com/auth0-samples/auth0-javascript-spa","Auth0 Vanilla examples","null","2017-05-29","3","1"
"auth0-samples/auth0-servlet-sso-sample","https://github.com/auth0-samples/auth0-servlet-sso-sample","Demonstrates using Auth0 with plain Java Servlets and JSPs to do Single Sign On (SSO) between two websites.","Java","2017-04-11","3","0"
"auth0-samples/auth0-ios-swift-v2-sample","https://github.com/auth0-samples/auth0-ios-swift-v2-sample","[no description]","null","2017-05-25","3","8"
"auth0/auth0-extension-voice-factor","https://github.com/auth0/auth0-extension-voice-factor","Provides multi-factor authentication with VoiceIt.","JavaScript","2018-07-10","3","0"
"auth0-community/auth0-editprofile-widget","https://github.com/auth0-community/auth0-editprofile-widget","A widget to let the users update their profile - Community Maintained","JavaScript","2018-04-09","3","4"
"auth0/auth0-alexa-authentication-sample","https://github.com/auth0/auth0-alexa-authentication-sample","[no description]","JavaScript","2017-11-10","3","1"
"auth0/splunk-auth0","https://github.com/auth0/splunk-auth0","[no description]","JavaScript","2016-12-18","3","0"
"auth0/playground","https://github.com/auth0/playground","Auth0 Lock playground","JavaScript","2017-07-07","3","2"
"auth0/auth0-joomla","https://github.com/auth0/auth0-joomla","Joomla extension for Auth0","PHP","2018-05-30","3","3"
"auth0/developer-centre","https://github.com/auth0/developer-centre","Developer Centre Application for Third Party Client API Authorization","JavaScript","2018-06-24","3","0"
"auth0/Mobile-Samples.Android","https://github.com/auth0/Mobile-Samples.Android","Sample Applications for Android","null","2018-05-25","3","3"
"auth0-community/auth0-chrome-sample","https://github.com/auth0-community/auth0-chrome-sample","Integrate Auth0 in Chrome extensions","HTML","2018-05-27","3","2"
"auth0-community/auth0-hapi-api-samples","https://github.com/auth0-community/auth0-hapi-api-samples","Integrate Auth0 in Hapi REST services","JavaScript","2018-07-12","3","3"
"auth0/contact-form","https://github.com/auth0/contact-form","Auth0 Contact Form","JavaScript","2018-06-04","3","2"
"auth0/ethereum-docker-deployment","https://github.com/auth0/ethereum-docker-deployment","Deployment scripts and docker files","Shell","2018-01-22","3","0"
"auth0/webtask-log-stream","https://github.com/auth0/webtask-log-stream","Stream interface for streaming webtask logs for node and the browser","JavaScript","2017-01-01","2","1"
"auth0/auth0-slackin","https://github.com/auth0/auth0-slackin","Auth0 slackin","HTML","2016-02-11","2","0"
"auth0-community/auth0-ruby-api-samples","https://github.com/auth0-community/auth0-ruby-api-samples","Integrate Auth0 with Ruby REST services","Ruby","2018-07-16","2","1"
"auth0/dashboard-index","https://github.com/auth0/dashboard-index","[no description]","JavaScript","2016-04-13","2","0"
"auth0/auth0-extension-boilerplate-with-react","https://github.com/auth0/auth0-extension-boilerplate-with-react","[no description]","JavaScript","2016-08-20","2","2"
"auth0/webtask-migration-assistant","https://github.com/auth0/webtask-migration-assistant","Webtask Migration Assistant","JavaScript","2018-04-12","2","0"
"auth0/webtask-userspace","https://github.com/auth0/webtask-userspace","A collection of user-space webtask compilers, middleware and other utilities","JavaScript","2018-06-22","2","3"
"auth0/auth0-api-tokens","https://github.com/auth0/auth0-api-tokens","Library that given Auth0 global client credentials allows users to generate JWT tokens for API v2","JavaScript","2018-02-27","2","0"
"auth0/samlp-logout","https://github.com/auth0/samlp-logout","Federated SAMLP single sign-out","JavaScript","2017-05-09","2","3"
"auth0/auth0-common-logging","https://github.com/auth0/auth0-common-logging","Common utilities to write formatted logs in auth0 components","JavaScript","2018-06-05","2","1"
"auth0/auth0-spa-auth-prereq","https://github.com/auth0/auth0-spa-auth-prereq","A javascript library for Single Page Applications that kicks off an authentication flow when authentication is a prerequisite for the SPA.","JavaScript","2018-05-10","2","0"
"auth0/auth0-angular-thirdpartyapi-sample","https://github.com/auth0/auth0-angular-thirdpartyapi-sample","Auth0 + AngularJS + Third party API seed","JavaScript","2016-04-21","2","2"
"auth0/auth0-analytics.js","https://github.com/auth0/auth0-analytics.js","Auth0 Analytics (Web)","JavaScript","2018-05-09","2","2"
"auth0/developer-centre-api","https://github.com/auth0/developer-centre-api","Developer Centre API for Third Party Client API Authorization","JavaScript","2017-08-24","2","0"
"auth0/node-kerberos-server","https://github.com/auth0/node-kerberos-server","Kerberos http server interface","C#","2018-02-15","2","2"
"auth0-samples/auth0-ios-objc-sample","https://github.com/auth0-samples/auth0-ios-objc-sample","[no description]","Swift","2018-03-18","2","2"
"auth0/db-creation-scripts","https://github.com/auth0/db-creation-scripts","Database creation scripts for custom database user management.","null","2017-05-08","2","1"
"auth0/ethereum-browser-wallet","https://github.com/auth0/ethereum-browser-wallet","A client side wallet","JavaScript","2018-01-16","2","1"
"auth0/auth0-wcf-rest-sample","https://github.com/auth0/auth0-wcf-rest-sample","Using Auth0 on a single page app talking to a WCF REST service","C#","2017-08-11","2","5"
"auth0/Guardian.java","https://github.com/auth0/Guardian.java","[no description]","Java","2017-09-01","2","0"
"auth0/passport-heroku-addon","https://github.com/auth0/passport-heroku-addon","Passport strategy for heroku addons","JavaScript","2018-02-12","2","0"
"auth0-samples/auth0-idin-connector","https://github.com/auth0-samples/auth0-idin-connector","An OAuth2 authorization server that integrates Auth0 with an iDIN IDP","C#","2017-01-23","2","4"
"auth0/docker-xvfb","https://github.com/auth0/docker-xvfb","Docker image for node and xvfb","Shell","2018-06-18","2","0"
"auth0/slack-audit","https://github.com/auth0/slack-audit","Python scripts to be run in Lambda to help audit slack","Python","2017-05-01","2","0"
"auth0/machine-learning-post-2-abnormal-behavior","https://github.com/auth0/machine-learning-post-2-abnormal-behavior","Information and data sets related to the 2nd part of the machine learning post series","R","2017-01-29","2","0"
"auth0/docker-webinar-demo","https://github.com/auth0/docker-webinar-demo","The demo code for the Docker 101 Webinar July 2016","JavaScript","2018-01-26","2","0"
"auth0/go-ethereum","https://github.com/auth0/go-ethereum","dockerfile for go-ethereum client","Shell","2018-01-22","2","0"
"auth0/verquire","https://github.com/auth0/verquire","Versioned require","JavaScript","2018-04-22","2","5"
"auth0/banner-generator","https://github.com/auth0/banner-generator","ðŸŽŸ A banner generator tool","JavaScript","2018-06-15","2","0"
"auth0/guardian-example","https://github.com/auth0/guardian-example","Example for Guardian configuration","JavaScript","2018-03-05","2","0"
"auth0/audit-droid","https://github.com/auth0/audit-droid","Gynoid that audits Slack messages and executes actions in response","JavaScript","2018-04-13","2","0"
"auth0-samples/auth0-custom-database-client-certs","https://github.com/auth0-samples/auth0-custom-database-client-certs","[no description]","JavaScript","2017-12-29","2","0"
"auth0/bunyan-kinesis","https://github.com/auth0/bunyan-kinesis","Kinesis writteable stream for bunyan.","JavaScript","2016-09-06","2","0"
"auth0-samples/auth0-samlsp-with-oidc-silentauth","https://github.com/auth0-samples/auth0-samlsp-with-oidc-silentauth","SAML SP with OIDC Slient Authentication","HTML","2018-04-08","2","0"
"auth0-samples/auth0-django-api","https://github.com/auth0-samples/auth0-django-api","Auth0 Integration Samples for Django REST API Services","Python","2018-06-27","2","1"
"auth0/auth0-extension-boilerplate-with-api","https://github.com/auth0/auth0-extension-boilerplate-with-api","[no description]","JavaScript","2016-08-20","2","2"
"auth0-samples/auth0-single-page-app-login-with-sso-and-api","https://github.com/auth0-samples/auth0-single-page-app-login-with-sso-and-api","OIDC / Oauth2 demonstration starter app for Single Page App integration with Auth0","JavaScript","2018-02-23","2","0"
"auth0-samples/auth0-elixir-single-page-app","https://github.com/auth0-samples/auth0-elixir-single-page-app"," Auth0 Universal Login and Embedded Login with Phoenix & Elixir - as a Single Page App using Implicit Grant flow.","Elixir","2018-07-12","2","0"
"auth0-community/auth0-WinFormsWPF-oidc-samples","https://github.com/auth0-community/auth0-WinFormsWPF-oidc-samples","Samples for Auth0 OidcClient with Windows Forms / WPF applications","C#","2018-05-23","2","0"
"auth0-samples/auth0-spring-mvc-social-db-account-link-sample","https://github.com/auth0-samples/auth0-spring-mvc-social-db-account-link-sample","Application demonstrating Lock, auth0.js, Social Connection Login and Database Connection Account Linking","Java","2016-11-16","1","0"
"auth0/ethereum-crypto","https://github.com/auth0/ethereum-crypto","npm module to do general purpose ethereum crypto ops","JavaScript","2018-01-16","1","1"
"auth0-samples/aspnet-samples","https://github.com/auth0-samples/aspnet-samples","[no description]","JavaScript","2018-07-16","1","0"
"auth0/Lock-Twitter.iOS","https://github.com/auth0/Lock-Twitter.iOS","Lock for iOS add-on to use Twitter iOS integration","Objective-C","2016-10-26","1","5"
"auth0-community/auth0-emberjs2-sample","https://github.com/auth0-community/auth0-emberjs2-sample","Integrate Auth0 in Ember2 applications","JavaScript","2017-07-14","1","3"
"auth0/auth0-color-scheme","https://github.com/auth0/auth0-color-scheme","Colorful dark color scheme for TextMate and Sublime Text based of Auth0's color palette.","null","2018-03-01","1","1"
"auth0-community/auth0-servicestack-samples","https://github.com/auth0-community/auth0-servicestack-samples","Integrate Auth0 in ServiceStack services","JavaScript","2018-03-24","1","4"
"auth0/auth0-progresive-profiling-demo","https://github.com/auth0/auth0-progresive-profiling-demo","[no description]","JavaScript","2018-04-06","1","2"
"auth0/sandbox-worker","https://github.com/auth0/sandbox-worker","Sandbox worker experiment.","JavaScript","2014-11-29","1","1"
"auth0-community/auth0-socket.io-samples","https://github.com/auth0-community/auth0-socket.io-samples","[no description]","HTML","2017-03-28","1","0"
"auth0/docs-cli","https://github.com/auth0/docs-cli","Auth0 Docs API client","JavaScript","2016-07-28","1","0"
"auth0/component-cdn-uploader","https://github.com/auth0/component-cdn-uploader","[no description]","JavaScript","2018-07-06","1","0"
"auth0/passport-planningcenter","https://github.com/auth0/passport-planningcenter","A Planning Center passport strategy","JavaScript","2018-05-30","1","0"
"auth0/gitzero2ro","https://github.com/auth0/gitzero2ro","Git server with username and password authentication (Db and Ad connections only)","Ruby","2018-05-31","1","0"
"auth0/auth0-react-sketchapp","https://github.com/auth0/auth0-react-sketchapp","Render styleguide styles from React components ðŸ’…ðŸ’Ž","JavaScript","2017-06-30","1","0"
"auth0/auth0-oss-badges","https://github.com/auth0/auth0-oss-badges","Open Source Badges","HTML","2016-02-23","1","0"
"auth0/android-gradle-credentials","https://github.com/auth0/android-gradle-credentials","Gradle Plugin to generate Auth0 Credentials from properties file.","Groovy","2017-05-25","1","0"
"auth0/Guardian.swift","https://github.com/auth0/Guardian.swift","Swift toolkit for Auth0 Guardian API","Swift","2018-07-10","1","1"
"auth0-samples/auth0-ionic-firebase","https://github.com/auth0-samples/auth0-ionic-firebase","Auth0 + Ionic + Firebase sample","null","2017-07-04","1","0"
"auth0/auth0-extension-boilerplate-hooks","https://github.com/auth0/auth0-extension-boilerplate-hooks","[no description]","JavaScript","2018-04-24","1","0"
"auth0-samples/auth0-grails3-mvc-sample","https://github.com/auth0-samples/auth0-grails3-mvc-sample","Demonstrates using Auth0 with Grails 3 to create a Secured MVC Web Application","CSS","2017-11-07","1","1"
"auth0/auth0-authz-rules-api","https://github.com/auth0/auth0-authz-rules-api","Modules required to run Auth0 rules","JavaScript","2018-04-17","1","4"
"auth0-community/auth0-falcor-sample","https://github.com/auth0-community/auth0-falcor-sample","Integrate Auth0 in Falcor services","JavaScript","2018-07-12","1","2"
"auth0/auth0-ab","https://github.com/auth0/auth0-ab","[no description]","JavaScript","2018-03-21","1","1"
"auth0/passport-daccount","https://github.com/auth0/passport-daccount","Docomo dAccount authentication strategy for Passport and Node.js.","JavaScript","2018-04-02","1","0"
"auth0/inside-auth0","https://github.com/auth0/inside-auth0","our technical blog ","Ruby","2018-06-25","1","0"
"auth0/ng-conf-2016-demo","https://github.com/auth0/ng-conf-2016-demo","[no description]","JavaScript","2016-05-23","1","0"
"auth0-community/auth0-symfony-api-samples","https://github.com/auth0-community/auth0-symfony-api-samples","Integrate Auth0 with Symphony REST services","PHP","2018-07-05","1","5"
"auth0-samples/auth0-pnp-webapp-oidc","https://github.com/auth0-samples/auth0-pnp-webapp-oidc","End to end sample for the Web App (OIDC) Patterns & Practices document","C#","2017-02-18","1","0"
"auth0/apns.js","https://github.com/auth0/apns.js","Apple APNS API v3 client (HTTP/2)","JavaScript","2016-11-19","1","0"
"auth0-samples/auth0-password-policy-sample","https://github.com/auth0-samples/auth0-password-policy-sample","Custom signup with password policy example","JavaScript","2017-08-13","1","1"
"auth0-samples/auth0-cas-server","https://github.com/auth0-samples/auth0-cas-server","A simple CAS server that uses Auth0 as the backing IDP","JavaScript","2017-02-23","1","2"
"auth0-samples/aspnet-core-mvc-plus-webapi","https://github.com/auth0-samples/aspnet-core-mvc-plus-webapi","Demonstrates how to have both cookie and jwt bearer authentication in the same project for an API that can be called from an external client as well the web site.","C#","2018-06-20","1","0"
"auth0/node-gypd","https://github.com/auth0/node-gypd","Build your node.js native dependencies only once on a single place.","JavaScript","2015-03-31","1","0"
"auth0-samples/auth0-spring-security-api-v1-sample","https://github.com/auth0-samples/auth0-spring-security-api-v1-sample","Demonstrates using Auth0 with Spring Boot and Spring Security to create a Java Spring API - JWT Access Token and scope level authorization","Shell","2017-03-14","1","0"
"auth0/manage-boilerplate","https://github.com/auth0/manage-boilerplate","Basic boilerplate for auth0/manage","HTML","2016-09-11","1","0"
"auth0/kaggle_with_the_dream_team","https://github.com/auth0/kaggle_with_the_dream_team","we gonna win (data offsite)","null","2017-11-28","1","0"
"auth0/auth0-extension-realtime-logs","https://github.com/auth0/auth0-extension-realtime-logs","Access real-time webtask logs","JavaScript","2018-07-10","1","1"
"auth0/sharepoint-auth0","https://github.com/auth0/sharepoint-auth0","SharePoint PowerShell Module to connect SharePoint Web Applications with Auth0","PowerShell","2015-02-25","1","1"
"auth0-samples/auth0-nodejs-account-link-sample","https://github.com/auth0-samples/auth0-nodejs-account-link-sample","Auth0 + NodeJS regular web application with opt-in account linking between Social and DB Connection","JavaScript","2017-07-03","1","0"
"auth0/ethereum-user-db-service","https://github.com/auth0/ethereum-user-db-service","npm module used to perform database operations in mariadb","JavaScript","2018-01-16","1","0"
"auth0-samples/auth0-api-auth-implicit-sample","https://github.com/auth0-samples/auth0-api-auth-implicit-sample","[no description]","JavaScript","2018-04-24","1","3"
"auth0/sql-federation-server","https://github.com/auth0/sql-federation-server","WSFederation example identity provider using sql server.","CSS","2016-01-14","1","0"
"auth0/passport-azure-store","https://github.com/auth0/passport-azure-store","Passport strategy for SSO with Windows Azure","JavaScript","2016-07-28","1","0"
"auth0/node-azure-store","https://github.com/auth0/node-azure-store","Windows Azure Store template for Node.js apps","JavaScript","2016-07-28","1","1"
"auth0-samples/auth0-delegated-admin-dashboad-using-authz-extension","https://github.com/auth0-samples/auth0-delegated-admin-dashboad-using-authz-extension","Membership integration and user provisioning for federated connections using the Auth0 Authorization and Delegated Administration Dashboard extensions","JavaScript","2017-12-05","1","0"
"auth0/auth0-extension-boilerplate","https://github.com/auth0/auth0-extension-boilerplate","[no description]","JavaScript","2016-05-04","1","1"
"auth0/Auth0.Windows.UWP","https://github.com/auth0/Auth0.Windows.UWP","Libraries and samples for using Auth0 with UWP applications","C#","2018-06-18","1","0"
"auth0/angular-auth0-auth","https://github.com/auth0/angular-auth0-auth","[no description]","JavaScript","2018-06-13","1","1"
"auth0-samples/spring-boot-api-reference","https://github.com/auth0-samples/spring-boot-api-reference","Demonstration app, illustrates how change password endpoint may be implemented, requiring APIv2 management token & secured by JWT Access token with `update:password` scope","Java","2018-02-02","1","0"
"auth0-samples/auth0-wsfed-idm","https://github.com/auth0-samples/auth0-wsfed-idm","Illustrates how it is possible to write a custom authentication strategy (here, using passport-custom NPM module & checking for a matching phone number). Uses wsfed NPM module to leverage wsfed signin protocol and SAML1.1 for the Token Type (Response Assertion).","JavaScript","2018-02-03","1","0"
"auth0/auth0-aurelia","https://github.com/auth0/auth0-aurelia","[no description]","null","2016-09-13","1","0"
"auth0/auth0-crm-demo-template","https://github.com/auth0/auth0-crm-demo-template","Extensible CRM demo app","JavaScript","2017-08-24","1","0"
"auth0/auth0-sandbox-ext","https://github.com/auth0/auth0-sandbox-ext","Webtask based extensions of Auth0 Webtasks","JavaScript","2018-01-29","1","0"
"auth0-samples/demo-sso","https://github.com/auth0-samples/demo-sso","[no description]","HTML","2018-04-06","1","0"
"auth0-samples/spa-quickstarts-tests","https://github.com/auth0-samples/spa-quickstarts-tests","A set of SPA test scripts prepared to run using a web automation tool","JavaScript","2018-04-26","1","0"
"auth0-samples/auth0-regular-webapp-saml-idp-client","https://github.com/auth0-samples/auth0-regular-webapp-saml-idp-client","This is a Node.js Express Regular Web application that uses the SAML2 protocol to authentication against Auth0 as SAML IDP","JavaScript","2018-04-20","1","0"
"auth0-samples/api-quickstarts-tests","https://github.com/auth0-samples/api-quickstarts-tests","Test scripts for API Quickstarts","JavaScript","2018-06-20","1","0"
